시도,시군구,구분,2014,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,합계,차대사람,,,,,,차대차,,,,,차량단독,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,,철길건널목,,합계,차대사람,,,,,,차대차,,,,,,차량단독,,,,,,,철길건널목,
,마포구,사고건수,181,67,17,10,1,2,37,109,1,23,28,57,5,2,,,3,,,,203,71,16,5,4,1,45,129,8,53,36,32,3,1,,,1,1,198,75,26,24,6,4,15,119,24,37,46,12,4,,,,4,,,,208,77,33,10,3,5,26,127,,24,35,33,35,4,2,,,2,,,,,,191,62,23,11,,4,24,124,,4,51,37,32,5,,,,4,1,,,
,,사망자수,5,3,2,0,0,0,1,2,0,1,0,1,0,0,,,0,,,,5,3,0,1,0,0,2,2,0,0,1,1,0,0,,,0,0,4,4,1,3,0,0,0,0,0,0,0,0,0,,,,0,,,,4,4,3,1,0,0,0,0,,0,0,0,0,0,0,,,0,,,,,,4,4,3,0,,0,1,0,,0,0,0,0,0,,,,0,0,,,
,,부상자수,185,66,15,10,1,3,37,114,1,22,29,62,5,2,,,3,,,,217,68,16,4,4,1,43,146,8,57,47,34,3,1,,,1,1,205,73,26,22,6,4,15,128,26,37,50,15,4,,,,4,,,,229,73,30,9,3,5,26,152,,25,38,48,41,4,2,,,2,,,,,,201,58,20,11,,4,23,138,,4,53,46,35,5,,,,4,1,,,
,,중상자수,76,40,10,7,0,0,23,33,0,6,7,20,3,1,,,2,,,,85,46,11,3,2,0,30,38,2,20,5,11,1,0,,,1,0,84,43,17,15,3,2,6,39,13,14,8,4,2,,,,2,,,,78,46,23,6,2,2,13,31,,10,7,8,6,1,0,,,1,,,,,,62,35,13,9,,2,11,25,,2,11,3,9,2,,,,1,1,,,
,,경상자수,98,22,4,3,1,3,11,75,1,16,21,37,1,0,,,1,,,,105,18,5,1,1,1,10,86,5,31,35,15,1,0,,,0,1,112,26,8,7,3,2,6,85,12,23,41,9,1,,,,1,,,,133,22,5,3,1,2,11,109,,15,29,32,33,2,1,,,1,,,,,,126,21,6,2,,2,11,102,,1,42,36,23,3,,,,3,0,,,
,,부상신고자수,11,4,1,0,0,0,3,6,0,0,1,5,1,1,,,0,,,,27,4,0,0,1,0,3,22,1,6,7,8,1,1,,,0,0,9,4,1,0,0,0,3,4,1,0,1,2,1,,,,1,,,,18,5,2,0,0,1,2,12,,0,2,8,2,1,1,,,0,,,,,,13,2,1,0,,0,1,11,,1,0,7,3,0,,,,0,0,,,
,강서구,사고건수,240,99,28,2,6,5,58,126,2,27,15,82,15,2,,,13,,,,234,95,21,19,6,3,46,129,6,55,18,50,10,1,,,9,,240,106,75,7,2,,22,114,20,47,15,32,20,,,,17,3,,,231,99,34,23,9,8,25,121,2,9,56,31,23,11,,,,11,,,,,,210,85,29,12,8,5,31,111,,,53,23,35,14,,,,13,,1,,
,,사망자수,11,6,2,0,0,0,4,4,0,0,0,4,1,1,,,0,,,,2,2,1,0,0,0,1,0,0,0,0,0,0,0,,,0,,4,3,3,0,0,,0,1,0,1,0,0,0,,,,0,0,,,6,5,2,2,0,0,1,1,0,0,1,0,0,0,,,,0,,,,,,5,3,3,0,0,0,0,2,,,2,0,0,0,,,,0,,0,,
,,부상자수,246,93,26,2,6,5,54,138,2,33,18,85,15,2,,,13,,,,261,96,20,22,6,3,45,155,6,62,33,54,10,1,,,9,,246,104,73,7,2,,22,120,22,50,16,32,22,,,,19,3,,,235,94,32,21,9,8,24,130,2,10,59,34,25,11,,,,11,,,,,,223,82,26,12,8,5,31,127,,,58,26,43,14,,,,13,,1,,
,,중상자수,103,56,19,2,2,1,32,42,0,9,3,30,5,1,,,4,,,,97,51,10,12,3,2,24,44,4,14,9,17,2,0,,,2,,89,56,41,5,1,,9,24,4,12,3,5,9,,,,7,2,,,105,66,25,15,7,6,13,36,0,4,19,7,6,3,,,,3,,,,,,90,50,18,7,3,1,21,32,,,11,8,13,8,,,,7,,1,,
,,경상자수,132,34,5,0,4,4,21,88,2,22,13,51,10,1,,,9,,,,144,40,10,8,3,1,18,96,2,45,19,30,8,1,,,7,,128,38,27,1,1,,9,78,13,31,13,21,12,,,,11,1,,,117,26,7,4,2,2,11,83,0,5,34,26,18,8,,,,8,,,,,,120,28,8,5,4,4,7,86,,,41,18,27,6,,,,6,,0,,
,,부상신고자수,11,3,2,0,0,0,1,8,0,2,2,4,0,0,,,0,,,,20,5,0,2,0,0,3,15,0,3,5,7,0,0,,,0,,29,10,5,1,0,,4,18,5,7,0,6,1,,,,1,0,,,13,2,0,2,0,0,0,11,2,1,6,1,1,0,,,,0,,,,,,13,4,0,0,1,0,3,9,,,6,0,3,0,,,,0,,0,,
,구로구,사고건수,213,88,36,5,7,4,36,122,4,60,33,25,3,,,,3,,,,220,100,36,11,5,6,42,112,2,51,35,24,8,,,,8,,207,97,42,14,7,3,31,102,4,50,23,25,8,2,,,5,1,,,203,88,40,13,9,6,20,108,,24,38,26,20,7,2,,,5,,,,,,242,104,57,12,4,8,23,123,2,6,48,36,31,15,1,,,14,,,,
,,사망자수,6,4,0,0,1,0,3,2,1,1,0,0,0,,,,0,,,,9,8,4,1,0,0,3,1,0,1,0,0,0,,,,0,,5,3,2,0,0,0,1,2,0,0,0,2,0,0,,,0,0,,,6,5,3,1,0,0,1,1,,0,0,0,1,0,0,,,0,,,,,,6,5,4,0,0,0,1,0,0,0,0,0,0,1,1,,,0,,,,
,,부상자수,219,87,36,5,6,6,34,129,3,60,41,25,3,,,,3,,,,222,94,33,10,5,7,39,120,2,54,40,24,8,,,,8,,207,94,40,14,7,3,30,105,4,52,25,24,8,2,,,5,1,,,207,85,37,12,9,7,20,115,,26,40,30,19,7,2,,,5,,,,,,249,100,54,12,4,8,22,135,2,8,51,41,33,14,0,,,14,,,,
,,중상자수,97,60,27,5,2,2,24,36,0,20,10,6,1,,,,1,,,,97,58,20,5,3,4,26,35,1,20,8,6,4,,,,4,,93,62,29,10,4,2,17,29,1,16,5,7,2,0,,,2,0,,,93,53,26,8,5,4,10,37,,12,11,8,6,3,0,,,3,,,,,,95,55,37,4,2,5,7,32,0,3,14,9,6,8,0,,,8,,,,
,,경상자수,93,23,7,0,3,4,9,68,2,31,24,11,2,,,,2,,,,109,30,11,4,2,2,11,76,1,27,31,17,3,,,,3,,99,29,10,4,3,1,11,65,3,30,17,15,5,1,,,3,1,,,100,25,9,4,2,3,7,73,,14,27,21,11,2,1,,,1,,,,,,137,40,15,7,2,3,13,91,1,4,33,29,24,6,0,,,6,,,,
,,부상신고자수,29,4,2,0,1,0,1,25,1,9,7,8,0,,,,0,,,,16,6,2,1,0,1,2,9,0,7,1,1,1,,,,1,,15,3,1,0,0,0,2,11,0,6,3,2,1,1,,,0,0,,,14,7,2,0,2,0,3,5,,0,2,1,2,2,1,,,1,,,,,,17,5,2,1,0,0,2,12,1,1,4,3,3,0,0,,,0,,,,
,영등포구,사고건수,266,103,48,6,2,8,39,148,4,71,43,30,15,,1,,14,,,,315,114,58,16,8,8,24,183,17,87,44,35,18,5,,1,9,3,312,106,52,11,16,3,24,192,4,98,52,38,14,1,,,9,4,,,328,118,50,25,10,5,28,196,,56,55,28,57,14,1,,,13,,,,,,350,126,45,13,10,7,51,212,1,12,114,45,40,12,,,,11,1,,,
,,사망자수,8,7,4,0,0,0,3,1,0,1,0,0,0,,0,,0,,,,12,8,5,1,0,0,2,4,1,2,0,1,0,0,,0,0,0,5,1,1,0,0,0,0,3,0,3,0,0,1,0,,,0,1,,,8,7,4,2,0,0,1,1,,1,0,0,0,0,0,,,0,,,,,,6,5,2,0,0,1,2,1,0,1,0,0,0,0,,,,0,0,,,
,,부상자수,268,96,44,6,2,8,36,157,5,72,44,36,15,,1,,14,,,,323,106,53,15,8,8,22,198,16,92,55,35,19,5,,1,10,3,325,106,52,11,16,3,24,205,4,97,65,39,14,1,,,9,4,,,340,112,46,24,10,5,27,213,,59,60,33,61,15,1,,,14,,,,,,358,121,43,13,10,6,49,224,1,12,121,49,41,13,,,,12,1,,,
,,중상자수,120,65,35,3,1,5,21,47,3,23,10,11,8,,1,,7,,,,124,67,35,11,4,6,11,47,5,24,8,10,10,4,,0,6,0,104,56,34,6,7,1,8,44,1,28,8,7,4,1,,,2,1,,,115,61,28,12,3,4,14,50,,18,12,6,14,4,0,,,4,,,,,,107,63,28,7,1,3,24,41,0,2,23,11,5,3,,,,3,0,,,
,,경상자수,121,27,8,3,1,2,13,87,2,41,29,15,7,,0,,7,,,,165,32,14,4,3,1,10,126,9,60,39,18,7,1,,1,4,1,190,47,18,3,9,2,15,135,2,56,53,24,8,0,,,6,2,,,189,39,14,8,6,1,10,140,,34,41,26,39,10,1,,,9,,,,,,231,54,15,6,8,3,22,167,1,10,88,37,31,10,,,,9,1,,,
,,부상신고자수,27,4,1,0,0,1,2,23,0,8,5,10,0,,0,,0,,,,34,7,4,0,1,1,1,25,2,8,8,7,2,0,,0,0,2,31,3,0,2,0,0,1,26,1,13,4,8,2,0,,,1,1,,,36,12,4,4,1,0,3,23,,7,7,1,8,1,0,,,1,,,,,,20,4,0,0,1,0,3,16,0,0,10,1,5,0,,,,0,0,,,
,동작구,사고건수,148,75,26,5,6,1,37,69,1,28,15,25,4,,,,4,,,,175,83,31,12,18,5,17,84,3,43,26,12,8,5,,1,2,,196,97,46,3,20,2,26,88,9,39,27,13,11,1,,,9,1,,,200,94,38,6,12,8,30,98,3,4,44,24,23,8,2,,,5,1,,,,,225,108,39,19,8,7,35,109,2,2,52,31,22,8,1,,,7,,,,
,,사망자수,4,4,3,0,0,0,1,0,0,0,0,0,0,,,,0,,,,2,0,0,0,0,0,0,1,0,0,1,0,1,1,,0,0,,8,3,3,0,0,0,0,4,1,2,0,1,1,0,,,1,0,,,11,7,4,2,0,0,1,3,0,1,1,0,1,1,0,,,0,1,,,,,4,4,1,1,0,0,2,0,0,0,0,0,0,0,0,,,0,,,,
,,부상자수,152,73,24,5,6,1,37,75,1,29,19,26,4,,,,4,,,,179,83,31,12,18,5,17,89,4,46,27,12,7,4,,1,2,,195,94,43,3,20,2,26,90,10,41,27,12,11,2,,,8,1,,,198,90,36,4,12,9,29,101,3,4,44,28,22,7,2,,,5,0,,,,,237,106,40,18,8,7,33,122,2,2,60,35,23,9,1,,,8,,,,
,,중상자수,64,38,16,2,4,0,16,23,0,11,5,7,3,,,,3,,,,73,50,22,6,12,2,8,20,2,11,2,5,3,1,,0,2,,79,51,24,2,8,1,16,21,3,12,3,3,7,1,,,5,1,,,71,46,22,1,5,4,14,21,0,0,8,5,8,4,0,,,4,0,,,,,96,66,31,13,5,1,16,26,0,0,12,9,5,4,1,,,3,,,,
,,경상자수,72,28,6,3,2,0,17,43,0,14,14,15,1,,,,1,,,,85,26,8,4,4,2,8,55,2,28,20,5,4,3,,1,0,,103,41,18,1,12,1,9,59,6,27,18,8,3,1,,,2,0,,,110,38,13,3,6,4,12,69,3,2,29,22,13,3,2,,,1,0,,,,,122,35,8,5,3,6,13,84,2,2,44,22,14,3,0,,,3,,,,
,,부상신고자수,16,7,2,0,0,1,4,9,1,4,0,4,0,,,,0,,,,21,7,1,2,2,1,1,14,0,7,5,2,0,0,,0,0,,13,2,1,0,0,0,1,10,1,2,6,1,1,0,,,1,0,,,17,6,1,0,1,1,3,11,0,2,7,1,1,0,0,,,0,0,,,,,19,5,1,0,0,0,4,12,0,0,4,4,4,2,0,,,2,,,,
,관악구,사고건수,231,126,32,3,15,5,71,96,1,31,17,47,9,,,,8,1,,,218,112,49,6,11,8,38,97,7,31,25,34,9,2,,,7,,171,83,38,8,8,3,26,82,3,47,11,21,6,,,,6,,,,184,97,46,9,9,3,30,79,,13,28,13,25,8,1,,,6,1,,,,,182,84,34,13,5,9,23,88,2,2,42,24,18,10,,,,9,,1,,
,,사망자수,8,7,0,0,1,0,6,1,0,0,0,1,0,,,,0,0,,,5,5,4,0,1,0,0,0,0,0,0,0,0,0,,,0,,5,5,0,1,1,1,2,0,0,0,0,0,0,,,,0,,,,7,7,4,1,0,0,2,0,,0,0,0,0,0,0,,,0,0,,,,,3,3,1,1,0,1,0,0,0,0,0,0,0,0,,,,0,,0,,
,,부상자수,234,121,32,3,15,5,66,104,1,32,18,53,9,,,,8,1,,,225,107,45,6,10,8,38,109,7,35,29,38,9,2,,,7,,170,78,38,7,7,2,24,86,3,49,11,23,6,,,,6,,,,190,92,44,8,9,3,28,89,,14,33,14,28,9,2,,,6,1,,,,,188,81,33,12,5,8,23,97,2,2,45,27,21,10,,,,9,,1,,
,,중상자수,108,74,21,0,9,3,41,32,1,10,3,18,2,,,,2,0,,,100,67,32,2,9,6,18,31,3,13,5,10,2,0,,,2,,72,43,29,4,3,0,7,25,0,17,2,6,4,,,,4,,,,80,53,32,6,3,2,10,24,,1,10,2,11,3,0,,,3,0,,,,,65,43,18,6,3,5,11,18,1,0,9,3,5,4,,,,3,,1,,
,,경상자수,109,40,10,3,6,0,21,64,0,18,15,31,5,,,,5,0,,,112,39,13,3,1,2,20,66,3,16,23,24,7,2,,,5,,85,31,9,3,3,2,14,52,2,25,9,16,2,,,,2,,,,98,32,11,1,4,1,15,62,,11,23,12,16,4,0,,,3,1,,,,,105,34,14,6,1,3,10,66,1,2,32,21,10,5,,,,5,,0,,
,,부상신고자수,17,7,1,0,0,2,4,8,0,4,0,4,2,,,,1,1,,,13,1,0,1,0,0,0,12,1,6,1,4,0,0,,,0,,13,4,0,0,1,0,3,9,1,7,0,1,0,,,,0,,,,12,7,1,1,2,0,3,3,,2,0,0,1,2,2,,,0,0,,,,,18,4,1,0,1,0,2,13,0,0,4,3,6,1,,,,1,,0,,
,강남구,사고건수,283,97,28,3,4,11,51,175,1,47,68,59,11,,,,11,,,,260,79,28,2,3,9,37,174,8,46,59,61,7,2,,1,4,,303,101,29,12,9,10,41,195,11,47,70,67,7,3,,,4,,,,324,101,38,11,6,9,37,213,2,26,62,58,65,10,1,,,9,,,,,,351,97,34,6,14,5,38,250,,6,72,74,98,4,,,,3,1,,,
,,사망자수,6,6,5,0,0,0,1,0,0,0,0,0,0,,,,0,,,,7,5,3,0,0,0,2,2,0,2,0,0,0,0,,0,0,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,,0,,,,4,3,0,1,0,1,1,1,0,0,0,1,0,0,0,,,0,,,,,,7,5,2,0,0,2,1,2,,0,0,0,2,0,,,,0,0,,,
,,부상자수,287,92,24,3,4,11,50,184,1,50,71,62,11,,,,11,,,,274,76,25,2,3,9,37,191,8,47,69,67,7,2,,1,4,,328,104,30,12,10,11,41,217,14,52,79,72,7,3,,,4,,,,347,104,38,11,7,8,40,232,2,30,70,62,68,11,1,,,10,,,,,,372,93,33,6,14,3,37,274,,7,82,81,104,5,,,,4,1,,,
,,중상자수,104,56,18,3,2,9,24,44,0,9,16,19,4,,,,4,,,,98,40,17,1,1,3,18,54,2,10,21,21,4,1,,0,3,,105,51,14,7,5,6,19,50,2,11,17,20,4,0,,,4,,,,100,60,25,6,4,5,20,38,0,6,10,9,13,2,1,,,1,,,,,,105,48,22,2,4,0,20,53,,4,19,14,16,4,,,,3,1,,,
,,경상자수,157,31,6,0,2,2,21,119,1,36,49,33,7,,,,7,,,,151,28,8,1,2,4,13,121,4,35,42,40,2,1,,1,0,,194,44,15,2,5,4,18,147,10,37,56,44,3,3,,,0,,,,227,39,13,5,3,3,15,179,2,22,56,50,49,9,0,,,9,,,,,,242,40,10,4,10,1,15,201,,3,56,64,78,1,,,,1,0,,,
,,부상신고자수,26,5,0,0,0,0,5,21,0,5,6,10,0,,,,0,,,,25,8,0,0,0,2,6,16,2,2,6,6,1,0,,0,1,,29,9,1,3,0,1,4,20,2,4,6,8,0,0,,,0,,,,20,5,0,0,0,0,5,15,0,2,4,3,6,0,0,,,0,,,,,,25,5,1,0,0,2,2,20,,0,7,3,10,0,,,,0,0,,,
,강동구,사고건수,202,87,28,1,4,3,51,108,,37,28,43,7,3,,,4,,,,206,102,32,7,5,4,54,97,2,39,21,35,7,,,,7,,217,78,41,4,3,3,27,131,10,44,24,53,8,1,,,7,,,,221,96,44,11,1,2,38,116,1,10,42,16,47,9,,,,8,1,,,,,242,91,34,8,8,7,34,143,1,5,53,32,52,8,1,,,7,,,,
,,사망자수,8,5,0,0,1,0,4,2,,1,0,1,1,1,,,0,,,,8,5,4,0,0,0,1,3,0,2,0,1,0,,,,0,,6,5,3,1,0,0,1,0,0,0,0,0,1,1,,,0,,,,11,7,1,1,0,1,4,4,0,0,2,0,2,0,,,,0,0,,,,,4,3,1,0,1,1,0,1,0,1,0,0,0,0,0,,,0,,,,
,,부상자수,202,82,28,1,3,3,47,114,,40,30,44,6,2,,,4,,,,208,97,28,7,5,4,53,104,2,39,28,35,7,,,,7,,224,74,38,3,3,3,27,143,13,46,29,55,7,0,,,7,,,,219,91,44,10,1,1,35,119,1,10,42,17,49,9,,,,8,1,,,,,259,88,33,8,7,6,34,163,1,8,60,40,54,8,1,,,7,,,,
,,중상자수,96,50,18,1,3,3,25,44,,17,8,19,2,1,,,1,,,,91,60,19,5,1,2,33,28,1,13,1,13,3,,,,3,,89,37,20,2,1,3,11,47,4,18,9,16,5,0,,,5,,,,93,50,26,6,0,0,18,38,1,2,17,4,14,5,,,,4,1,,,,,102,53,21,6,0,3,23,45,0,3,18,7,17,4,1,,,3,,,,
,,경상자수,96,27,8,0,0,0,19,65,,20,22,23,4,1,,,3,,,,101,30,8,2,3,2,15,67,1,22,25,19,4,,,,4,,116,33,14,1,2,0,16,81,6,23,20,32,2,0,,,2,,,,108,34,14,3,1,1,15,70,0,8,19,13,30,4,,,,4,0,,,,,127,28,8,2,5,3,10,96,1,3,32,26,34,3,0,,,3,,,,
,,부상신고자수,10,5,2,0,0,0,3,5,,3,0,2,0,0,,,0,,,,16,7,1,0,1,0,5,9,0,4,2,3,0,,,,0,,19,4,4,0,0,0,0,15,3,5,0,7,0,0,,,0,,,,18,7,4,1,0,0,2,11,0,0,6,0,5,0,,,,0,0,,,,,30,7,4,0,2,0,1,22,0,2,10,7,3,1,0,,,1,,,,
,송파구,사고건수,292,107,28,9,11,8,51,173,6,64,45,58,12,1,1,,10,,,,299,108,42,19,11,6,30,182,11,70,65,36,9,1,,,8,,274,87,47,3,14,5,18,179,33,102,35,9,8,,,,6,2,,,321,106,63,4,4,4,31,201,1,42,93,43,22,14,1,,,12,1,,,,,373,128,51,9,9,8,51,224,1,9,134,57,23,21,5,,,14,2,,,
,,사망자수,7,4,2,2,0,0,0,3,0,2,0,1,0,0,0,,0,,,,4,2,1,1,0,0,0,2,0,1,0,1,0,0,,,0,,3,2,1,0,0,0,1,1,0,0,1,0,0,,,,0,0,,,8,4,3,0,0,0,1,4,0,2,1,0,1,0,0,,,0,0,,,,,7,6,4,0,1,0,1,1,0,0,0,1,0,0,0,,,0,0,,,
,,부상자수,298,103,26,7,11,8,51,182,7,63,51,61,13,1,1,,11,,,,315,107,41,19,11,6,30,199,11,79,71,38,9,1,,,8,,291,90,48,3,15,5,19,193,35,110,39,9,8,,,,6,2,,,331,102,60,4,4,4,30,215,1,41,101,48,24,14,1,,,12,1,,,,,396,124,48,9,9,8,50,249,1,10,146,64,28,23,6,,,15,2,,,
,,중상자수,116,59,13,6,5,5,30,52,4,22,9,17,5,0,0,,5,,,,135,65,27,10,6,4,18,66,3,27,20,16,4,1,,,3,,102,55,27,3,8,3,14,45,11,29,4,1,2,,,,1,1,,,131,69,42,2,3,3,19,56,1,11,30,9,5,6,0,,,6,0,,,,,139,69,27,6,5,2,29,61,0,3,33,15,10,9,5,,,3,1,,,
,,경상자수,150,38,12,1,4,2,19,106,2,35,37,32,6,1,1,,4,,,,142,37,12,9,5,2,9,100,5,39,43,13,5,0,,,5,,154,32,20,0,6,2,4,117,16,66,31,4,5,,,,4,1,,,164,27,17,2,0,1,7,130,0,24,54,36,16,7,1,,,5,1,,,,,213,45,18,2,3,5,17,158,1,7,91,43,16,10,0,,,9,1,,,
,,부상신고자수,32,6,1,0,2,1,2,24,1,6,5,12,2,0,0,,2,,,,38,5,2,0,0,0,3,33,3,13,8,9,0,0,,,0,,35,3,1,0,1,0,1,31,8,15,4,4,1,,,,1,0,,,36,6,1,0,1,0,4,29,0,6,17,3,3,1,0,,,1,0,,,,,44,10,3,1,1,1,4,30,0,0,22,6,2,4,1,,,3,0,,,
,서초구,사고건수,200,62,16,7,4,6,29,130,2,41,48,39,8,,,,8,,,,202,68,31,5,6,11,15,125,3,53,43,26,9,1,,,8,,248,76,29,12,5,8,22,163,9,58,61,35,9,,,,7,2,,,237,93,47,10,3,6,27,138,,16,54,42,26,6,,,,5,,,1,,,290,77,28,11,4,6,28,205,2,7,85,67,44,8,1,,1,6,,,,
,,사망자수,3,1,1,0,0,0,0,2,0,0,0,2,0,,,,0,,,,5,3,2,0,0,1,0,1,0,1,0,0,1,0,,,1,,4,3,1,0,0,1,1,1,0,0,1,0,0,,,,0,0,,,9,7,5,2,0,0,0,2,,0,0,2,0,0,,,,0,,,0,,,4,3,3,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,,,,
,,부상자수,213,61,15,7,4,6,29,144,2,45,57,40,8,,,,8,,,,216,67,30,5,6,11,15,141,3,58,49,31,8,1,,,7,,269,75,30,12,5,7,21,184,10,67,68,39,10,,,,7,3,,,258,88,44,8,3,6,27,164,,18,60,52,34,6,,,,5,,,1,,,311,76,27,11,4,6,28,227,2,7,94,78,46,8,1,,1,6,,,,
,,중상자수,82,39,14,3,0,4,18,39,0,16,12,11,4,,,,4,,,,91,47,21,2,3,10,11,40,2,13,14,11,4,1,,,3,,84,39,19,6,3,3,8,40,2,14,16,8,5,,,,5,0,,,81,54,29,3,1,5,16,25,,10,8,1,6,2,,,,2,,,0,,,88,44,22,7,0,3,12,41,0,2,17,16,6,3,0,,0,3,,,,
,,경상자수,117,21,0,4,4,2,11,93,2,26,43,22,3,,,,3,,,,109,16,8,2,2,1,3,89,1,38,31,19,4,0,,,4,,156,31,10,5,2,4,10,122,4,51,40,27,3,,,,2,1,,,154,29,11,5,2,1,10,122,,7,43,47,25,3,,,,2,,,1,,,197,27,5,4,3,3,12,166,2,5,69,56,34,4,0,,1,3,,,,
,,부상신고자수,14,1,1,0,0,0,0,12,0,3,2,7,1,,,,1,,,,16,4,1,1,1,0,1,12,0,7,4,1,0,0,,,0,,29,5,1,1,0,0,3,22,4,2,12,4,2,,,,0,2,,,23,5,4,0,0,0,1,17,,1,9,4,3,1,,,,1,,,0,,,26,5,0,0,1,0,4,20,0,0,8,6,6,1,1,,0,0,,,,
,양천구,사고건수,171,78,38,4,1,1,34,84,4,30,26,24,9,,,,9,,,,227,106,48,3,6,5,44,112,5,46,31,30,9,3,,,6,,191,90,29,16,8,6,31,95,4,36,29,26,6,,,,6,,,,177,84,37,18,3,3,23,88,,10,24,20,34,5,1,,,3,1,,,,,209,80,21,7,6,2,44,120,1,5,33,37,44,9,1,,,8,,,,
,,사망자수,6,4,4,0,0,0,0,2,0,1,1,0,0,,,,0,,,,5,3,2,0,0,0,1,1,0,0,0,1,1,1,,,0,,6,4,2,2,0,0,0,1,0,0,1,0,1,,,,1,,,,5,3,1,0,0,0,2,1,,0,1,0,0,1,1,,,0,0,,,,,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,
,,부상자수,171,76,34,4,1,1,36,86,4,29,29,24,9,,,,9,,,,233,103,46,3,6,5,43,121,5,51,36,29,9,3,,,6,,189,87,27,14,8,6,32,97,4,36,28,29,5,,,,5,,,,177,82,37,18,3,3,21,91,,10,24,23,34,4,0,,,3,1,,,,,221,77,19,6,6,2,44,134,1,5,36,43,49,10,2,,,8,,,,
,,중상자수,68,38,17,3,1,0,17,26,1,12,5,8,4,,,,4,,,,113,64,35,2,3,1,23,43,2,16,9,16,6,2,,,4,,75,50,15,9,5,1,20,21,2,9,7,3,4,,,,4,,,,64,46,27,7,2,2,8,17,,2,5,3,7,1,0,,,1,0,,,,,67,35,10,3,2,0,20,29,1,2,8,5,13,3,0,,,3,,,,
,,경상자수,92,35,17,1,0,1,16,52,3,16,23,10,5,,,,5,,,,108,37,10,1,3,4,19,68,3,30,24,11,3,1,,,2,,99,33,10,5,3,5,10,65,2,21,19,23,1,,,,1,,,,102,31,10,10,1,1,9,69,,8,16,19,26,2,0,,,2,0,,,,,141,40,8,3,4,2,23,96,0,3,28,37,28,5,0,,,5,,,,
,,부상신고자수,11,3,0,0,0,0,3,8,0,1,1,6,0,,,,0,,,,12,2,1,0,0,0,1,10,0,5,3,2,0,0,,,0,,15,4,2,0,0,0,2,11,0,6,2,3,0,,,,0,,,,11,5,0,1,0,0,4,5,,0,3,1,1,1,0,,,0,1,,,,,13,2,1,0,0,0,1,9,0,0,0,1,8,2,2,,,0,,,,
,중랑구,사고건수,204,78,24,5,7,4,38,115,6,40,33,36,11,,,,11,,,,240,102,53,6,14,6,23,126,7,60,41,18,12,5,,,7,,213,102,17,31,3,3,48,108,6,53,30,19,3,,,,2,1,,,250,104,51,12,5,4,32,137,4,35,38,25,35,9,,,,9,,,,,,254,98,35,12,7,7,37,144,,6,62,36,40,12,,,,12,,,,
,,사망자수,3,1,1,0,0,0,0,2,0,0,1,1,0,,,,0,,,,2,2,1,0,1,0,0,0,0,0,0,0,0,0,,,0,,5,5,0,4,0,0,1,0,0,0,0,0,0,,,,0,0,,,2,1,1,0,0,0,0,1,0,1,0,0,0,0,,,,0,,,,,,6,4,1,1,0,1,1,2,,1,1,0,0,0,,,,0,,,,
,,부상자수,215,79,23,5,7,4,40,125,6,43,38,38,11,,,,11,,,,250,100,52,6,13,6,23,136,8,63,44,21,14,6,,,8,,216,100,18,28,3,3,48,113,6,54,32,21,3,,,,2,1,,,268,103,50,12,5,4,32,156,5,34,42,30,45,9,,,,9,,,,,,264,94,34,11,7,6,36,158,,6,66,42,44,12,,,,12,,,,
,,중상자수,105,56,23,2,3,3,25,44,3,21,7,13,5,,,,5,,,,97,61,35,3,7,1,15,34,1,12,13,8,2,0,,,2,,84,53,10,17,0,3,23,29,4,13,4,8,2,,,,2,0,,,114,70,37,10,2,2,19,40,1,11,9,5,14,4,,,,4,,,,,,85,48,20,4,2,5,17,32,,3,12,7,10,5,,,,5,,,,
,,경상자수,87,19,0,2,4,1,12,65,3,16,27,19,3,,,,3,,,,111,33,14,3,5,4,7,73,4,33,25,11,5,2,,,3,,105,42,8,10,3,0,21,63,0,32,22,9,0,,,,0,0,,,125,31,12,2,3,2,12,89,2,17,26,23,21,5,,,,5,,,,,,156,45,14,7,5,1,18,104,,2,42,31,29,7,,,,7,,,,
,,부상신고자수,23,4,0,1,0,0,3,16,0,6,4,6,3,,,,3,,,,42,6,3,0,1,1,1,29,3,18,6,2,7,4,,,3,,27,5,0,1,0,0,4,21,2,9,6,4,1,,,,0,1,,,29,2,1,0,0,0,1,27,2,6,7,2,10,0,,,,0,,,,,,23,1,0,0,0,0,1,22,,1,12,4,5,0,,,,0,,,,
,노원구,사고건수,212,92,40,8,1,2,41,108,7,41,26,34,12,,,,11,1,,,206,83,26,12,9,6,30,119,9,40,37,33,4,1,,,3,,228,96,53,12,7,5,19,120,7,55,41,17,12,1,,1,10,,,,212,84,46,13,7,4,14,120,1,5,54,25,35,8,1,,,6,1,,,,,245,95,44,13,3,9,26,141,1,6,67,37,30,9,,,,9,,,,
