시도,시군구,구분,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,2016,,,,,,,,,,,,,2017,,,,,,,,,,,,,2018,,,,,,,,,,,,
,,,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
,,부상신고자수,16,0,0,0,1,4,2,0,0,2,2,2,3,21,2,2,1,1,1,0,4,4,1,4,1,0,13,2,1,0,3,1,3,0,0,2,1,0,0,17,2,0,4,3,3,1,0,2,0,1,0,1,19,0,1,1,0,0,1,6,1,3,2,3,1
,관악구,사고건수,231,17,17,16,16,19,17,22,15,14,22,26,30,218,24,14,18,13,27,7,19,17,22,20,16,21,171,7,8,18,17,26,13,22,10,14,14,13,9,184,11,14,13,15,15,10,19,23,20,18,11,15,182,12,16,14,13,17,16,16,19,18,16,11,14
,,사망자수,8,1,1,1,1,0,0,1,0,0,1,1,1,5,0,1,0,0,0,0,0,0,0,3,1,0,5,1,2,0,0,0,0,0,0,0,1,1,0,7,3,1,2,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0
,,부상자수,234,17,17,15,15,19,18,21,16,16,22,27,31,225,25,15,18,15,27,7,19,19,23,18,16,23,170,6,7,18,17,26,13,22,11,15,14,12,9,190,8,13,11,16,15,10,22,28,20,21,11,15,188,11,17,13,14,18,17,19,18,18,18,11,14
,,중상자수,108,5,9,9,4,9,10,7,9,7,12,13,14,100,15,7,9,7,14,1,7,7,11,4,6,12,72,2,2,7,6,13,6,12,4,8,7,3,2,80,4,5,5,7,7,2,6,16,7,10,4,7,65,3,8,4,5,8,5,5,5,10,5,1,6
,,경상자수,109,9,7,5,9,8,6,12,7,7,10,13,16,112,10,6,8,6,12,5,11,11,12,12,9,10,85,3,5,11,9,13,7,8,7,7,4,7,4,98,3,8,5,6,8,8,13,11,13,11,5,7,105,7,8,8,7,9,11,12,9,8,12,9,5
,,부상신고자수,17,3,1,1,2,2,2,2,0,2,0,1,1,13,0,2,1,2,1,1,1,1,0,2,1,1,13,1,0,0,2,0,0,2,0,0,3,2,3,12,1,0,1,3,0,0,3,1,0,0,2,1,18,1,1,1,2,1,1,2,4,0,1,1,3
,강남구,사고건수,283,19,25,18,18,18,25,24,19,25,32,34,26,260,14,21,15,32,14,18,25,29,10,26,29,27,303,22,21,24,28,32,22,28,18,25,26,31,26,324,25,22,30,26,29,31,24,26,29,26,29,27,351,31,32,22,35,34,21,33,28,29,26,30,30
,,사망자수,6,0,0,1,0,1,1,0,1,1,0,1,0,7,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,7,1,0,1,0,0,0,0,1,0,2,0,2
,,부상자수,287,20,25,18,18,18,25,24,20,25,33,34,27,274,15,20,15,33,14,20,28,38,9,26,29,27,328,26,21,25,29,37,24,28,18,25,28,37,30,347,28,23,32,28,32,32,27,30,26,29,29,31,372,30,37,22,39,37,24,35,28,31,27,30,32
,,중상자수,104,9,4,10,7,6,8,9,5,9,12,14,11,98,6,7,8,16,4,7,9,12,3,9,11,6,105,8,8,7,9,13,7,9,5,9,8,14,8,100,8,7,7,8,9,11,3,7,3,15,10,12,105,9,13,8,12,8,6,15,6,11,3,8,6
,,경상자수,157,11,19,8,9,10,13,10,13,16,17,19,12,151,9,12,6,13,8,10,17,22,5,14,17,18,194,17,13,14,17,19,16,15,13,14,18,19,19,227,20,16,21,20,22,17,22,20,21,12,18,18,242,20,21,14,25,25,15,19,20,20,23,19,21
,,부상신고자수,26,0,2,0,2,2,4,5,2,0,4,1,4,25,0,1,1,4,2,3,2,4,1,3,1,3,29,1,0,4,3,5,1,4,0,2,2,4,3,20,0,0,4,0,1,4,2,3,2,2,1,1,25,1,3,0,2,4,3,1,2,0,1,3,5
,강동구,사고건수,202,18,14,22,12,14,14,15,26,14,19,22,12,206,15,15,24,21,16,13,19,17,11,25,18,12,217,17,26,18,20,25,19,23,10,12,15,19,13,221,17,10,22,21,24,25,16,16,20,19,15,16,242,16,17,28,15,20,30,21,18,21,24,21,11
,,사망자수,8,2,1,1,0,0,0,0,1,0,1,1,1,8,2,0,1,0,1,0,0,1,0,1,1,1,6,0,1,0,0,2,0,3,0,0,0,0,0,11,0,0,2,1,1,1,1,2,1,0,0,2,4,0,0,1,1,0,0,1,0,0,0,1,0
,,부상자수,202,17,13,21,12,14,15,16,26,14,18,23,13,208,13,15,26,24,17,13,19,17,11,25,17,11,224,18,25,20,23,26,21,20,10,13,16,19,13,219,17,11,21,21,23,25,17,14,19,20,15,16,259,16,18,33,14,21,34,21,18,22,26,23,13
,,중상자수,96,4,6,12,6,7,7,8,13,5,11,13,4,91,6,4,13,8,4,9,10,8,4,9,11,5,89,4,12,8,9,11,11,8,3,7,5,6,5,93,9,3,11,12,4,12,6,5,7,8,12,4,102,7,10,14,9,9,14,8,6,5,9,6,5
,,경상자수,96,12,7,8,6,6,6,8,12,7,6,9,9,101,7,11,12,16,10,4,8,7,7,9,5,5,116,13,12,8,12,15,9,9,7,5,9,10,7,108,8,7,7,6,17,11,11,7,10,11,1,12,127,8,6,18,5,11,15,8,10,14,15,11,6
,,부상신고자수,10,1,0,1,0,1,2,0,1,2,1,1,0,16,0,0,1,0,3,0,1,2,0,7,1,1,19,1,1,4,2,0,1,3,0,1,2,3,1,18,0,1,3,3,2,2,0,2,2,1,2,0,30,1,2,1,0,1,5,5,2,3,2,6,2
,송파구,사고건수,292,18,14,28,26,34,19,22,28,26,26,24,27,299,22,20,28,27,39,16,26,24,25,25,26,21,274,19,17,21,16,18,29,20,18,28,28,28,32,321,28,23,21,17,26,22,30,34,35,28,33,24,373,25,35,32,37,27,29,31,26,28,38,37,28
,,사망자수,7,2,0,1,0,1,0,0,0,1,0,2,0,4,0,0,1,0,0,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,1,8,1,0,0,0,0,1,1,0,1,0,3,1,7,2,1,1,0,0,1,1,0,0,0,1,0
,,부상자수,298,18,14,28,27,33,20,22,29,27,28,23,29,315,24,21,27,31,42,19,30,24,25,25,26,21,291,20,16,23,16,18,31,20,19,31,31,30,36,331,29,24,21,17,27,24,32,38,35,29,32,23,396,27,36,33,39,28,29,32,29,32,39,44,28
,,중상자수,116,3,6,17,14,8,6,11,8,14,11,10,8,135,11,11,11,15,19,8,10,13,14,7,11,5,102,11,6,8,4,9,13,4,4,10,12,5,16,131,13,12,7,8,12,7,11,12,9,11,17,12,139,10,17,14,15,8,12,11,9,7,16,12,8
,,경상자수,150,13,7,10,10,19,11,9,18,10,15,10,18,142,11,7,13,11,20,8,18,8,7,14,12,13,154,9,9,12,8,7,13,11,15,20,14,24,12,164,12,10,10,9,10,16,18,21,22,12,14,10,213,13,16,16,22,17,11,15,16,22,19,28,18
,,부상신고자수,32,2,1,1,3,6,3,2,3,3,2,3,3,38,2,3,3,5,3,3,2,3,4,4,3,3,35,0,1,3,4,2,5,5,0,1,5,1,8,36,4,2,4,0,5,1,3,5,4,6,1,1,44,4,3,3,2,3,6,6,4,3,4,4,2
,서초구,사고건수,200,13,11,17,26,13,15,14,15,20,21,14,21,202,10,17,19,13,13,17,17,17,18,21,18,22,248,19,24,21,27,16,23,24,14,17,24,22,17,237,18,21,15,18,11,22,29,20,18,25,15,25,290,22,27,31,19,22,22,17,26,30,22,25,27
,,사망자수,3,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,2,1,4,1,0,0,1,0,0,0,0,0,1,1,0,9,1,1,0,1,0,1,3,0,2,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0
,,부상자수,213,13,14,17,26,13,15,13,21,21,25,14,21,216,10,17,21,14,13,20,21,18,18,23,18,23,269,20,27,25,31,17,25,25,14,19,27,21,18,258,18,22,15,22,11,22,28,20,17,27,25,31,311,23,31,34,20,27,23,18,29,29,23,26,28
,,중상자수,82,8,3,5,9,1,7,7,10,12,8,3,9,91,4,10,7,6,3,12,8,4,5,8,12,12,84,9,10,5,11,3,12,4,6,6,6,6,6,81,7,10,5,8,3,5,9,5,6,7,9,7,88,8,8,7,7,6,2,5,8,10,7,11,9
,,경상자수,117,5,9,11,15,9,6,6,10,8,17,9,12,109,5,6,13,7,9,8,12,9,13,14,6,7,156,10,15,18,18,10,11,19,6,12,14,11,12,154,9,11,10,13,7,16,15,13,10,17,14,19,197,14,18,25,12,16,19,12,20,16,15,13,17
,,부상신고자수,14,0,2,1,2,3,2,0,1,1,0,2,0,16,1,1,1,1,1,0,1,5,0,1,0,4,29,1,2,2,2,4,2,2,2,1,7,4,0,23,2,1,0,1,1,1,4,2,1,3,2,5,26,1,5,2,1,5,2,1,1,3,1,2,2
,양천구,사고건수,171,7,10,19,14,14,15,13,18,19,14,17,11,227,15,15,24,16,26,13,22,13,22,21,20,20,191,17,11,21,14,16,11,21,17,16,10,22,15,177,14,10,20,11,15,12,11,18,17,15,21,13,209,26,18,18,14,16,23,11,15,17,19,18,14
,,사망자수,6,0,0,0,1,0,1,0,0,1,3,0,0,5,0,0,0,0,0,1,0,0,0,0,4,0,6,0,1,1,0,0,0,1,1,0,0,2,0,5,0,1,0,0,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1
,,부상자수,171,7,12,19,13,14,15,15,18,18,12,17,11,233,16,16,26,20,27,12,22,13,23,22,16,20,189,18,10,21,14,16,11,20,17,16,10,20,16,177,15,9,20,11,15,12,12,18,17,13,22,13,221,29,19,19,14,16,25,11,17,18,21,17,15
,,중상자수,68,4,6,9,2,3,3,5,9,10,5,6,6,113,9,9,11,10,13,6,12,7,10,9,7,10,75,5,6,10,7,5,5,5,6,5,3,10,8,64,5,4,12,3,4,1,6,9,5,5,6,4,67,7,7,8,3,5,14,0,3,9,5,4,2
,,경상자수,92,2,6,8,11,10,11,8,8,8,7,8,5,108,5,7,14,7,12,6,10,6,11,11,9,10,99,12,2,8,7,10,5,11,9,11,7,9,8,102,10,5,7,7,10,10,4,7,12,7,15,8,141,19,12,11,9,11,10,9,12,8,16,12,12
,,부상신고자수,11,1,0,2,0,1,1,2,1,0,0,3,0,12,2,0,1,3,2,0,0,0,2,2,0,0,15,1,2,3,0,1,1,4,2,0,0,1,0,11,0,0,1,1,1,1,2,2,0,1,1,1,13,3,0,0,2,0,1,2,2,1,0,1,1
,중랑구,사고건수,204,12,13,13,17,18,18,11,25,21,20,21,15,240,12,14,23,20,27,25,12,23,19,17,27,21,213,18,15,21,17,11,15,18,14,17,28,18,21,250,19,18,28,22,18,25,25,18,20,20,24,13,254,24,16,17,14,22,16,25,24,20,26,30,20
,,사망자수,3,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,1,0,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,2,0,0,2,0
,,부상자수,215,13,13,14,17,19,19,12,25,24,19,25,15,250,12,18,24,20,30,25,13,24,18,18,27,21,216,19,15,21,16,12,16,20,14,16,28,17,22,268,20,19,28,25,18,27,26,18,22,22,29,14,264,25,16,18,16,23,18,27,25,21,26,29,20
,,중상자수,105,8,10,6,8,8,8,7,14,11,11,12,2,97,4,5,7,11,13,8,6,12,10,7,8,6,84,10,3,10,8,4,6,4,4,9,7,9,10,114,12,3,16,11,4,11,13,11,10,7,12,4,85,6,3,6,6,8,4,11,9,6,5,15,6
,,경상자수,87,5,3,7,7,5,9,4,11,9,7,11,9,111,7,11,10,5,12,12,7,7,5,8,15,12,105,9,9,7,7,8,8,13,8,5,15,6,10,125,8,15,8,12,10,13,7,7,11,12,14,8,156,17,12,7,9,12,14,15,16,13,18,10,13
,,부상신고자수,23,0,0,1,2,6,2,1,0,4,1,2,4,42,1,2,7,4,5,5,0,5,3,3,4,3,27,0,3,4,1,0,2,3,2,2,6,2,2,29,0,1,4,2,4,3,6,0,1,3,3,2,23,2,1,5,1,3,0,1,0,2,3,4,1
,노원구,사고건수,212,13,11,21,17,12,15,16,18,25,25,26,13,206,17,17,17,19,20,11,16,17,20,19,16,17,228,20,20,18,24,18,13,17,19,17,23,17,22,212,16,7,19,23,20,18,23,14,13,24,18,17,245,22,18,12,24,24,22,25,20,25,14,12,27
,,사망자수,8,1,1,0,1,0,2,0,0,0,0,0,3,6,0,2,0,1,0,0,0,0,0,1,2,0,5,0,0,0,0,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,8,2,1,0,1,0,1,1,1,0,1,0,0
,,부상자수,211,12,10,22,18,12,14,18,18,25,25,26,11,210,18,17,17,20,22,12,16,17,22,18,14,17,244,21,21,19,28,17,13,20,21,21,23,16,24,225,16,7,21,25,21,19,23,14,18,24,20,17,248,20,17,12,23,24,25,26,20,26,14,12,29
,,중상자수,95,6,3,9,10,6,9,6,6,10,12,14,4,86,8,9,9,4,9,4,9,7,6,9,8,4,98,12,10,11,12,4,7,3,8,4,10,5,12,100,8,6,10,6,8,6,8,8,7,15,8,10,93,9,9,7,12,9,5,12,5,6,5,4,10
,,경상자수,99,4,6,11,7,3,5,11,11,14,12,11,4,104,10,6,6,14,11,5,6,7,14,7,6,12,121,9,9,7,12,10,6,16,11,13,11,8,9,116,8,1,11,17,12,11,13,6,11,7,12,7,141,11,6,5,9,14,18,13,14,18,9,8,16
,,부상신고자수,17,2,1,2,1,3,0,1,1,1,1,1,3,20,0,2,2,2,2,3,1,3,2,2,0,1,25,0,2,1,4,3,0,1,2,4,2,3,3,9,0,0,0,2,1,2,2,0,0,2,0,0,14,0,2,0,2,1,2,1,1,2,0,0,3
,광진구,사고건수,166,14,11,15,16,13,14,17,10,13,16,12,15,167,14,6,15,11,16,12,14,15,18,22,13,11,113,13,8,11,14,9,6,11,11,6,8,10,6,146,9,5,13,5,18,12,9,15,14,12,20,14,133,11,14,8,11,10,8,12,11,13,7,18,10
,,사망자수,3,0,0,0,0,1,0,0,0,0,1,1,0,5,1,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,2
,,부상자수,172,14,11,16,18,13,15,17,10,14,15,12,17,171,14,6,15,12,17,14,12,15,16,24,15,11,113,13,8,12,14,8,6,11,11,7,6,11,6,150,8,5,13,5,17,12,9,16,14,12,23,16,131,12,14,8,11,11,8,12,10,13,7,17,8
,,중상자수,75,5,6,9,10,7,7,7,3,5,5,3,8,82,5,3,11,8,7,7,2,8,9,9,6,7,57,10,6,2,7,5,3,5,6,2,3,5,3,60,4,3,6,2,9,3,3,4,7,5,10,4,44,6,6,1,3,1,2,1,5,7,1,7,4
,,경상자수,84,9,4,7,6,5,7,9,7,8,6,8,8,76,9,1,4,4,9,5,10,6,5,11,8,4,52,3,1,10,7,2,3,6,4,5,3,5,3,79,4,2,6,3,7,9,4,10,6,6,11,11,79,5,6,6,8,10,5,10,4,6,6,10,3
,,부상신고자수,13,0,1,0,2,1,1,1,0,1,4,1,1,13,0,2,0,0,1,2,0,1,2,4,1,0,4,0,1,0,0,1,0,0,1,0,0,1,0,11,0,0,1,0,1,0,2,2,1,1,2,1,8,1,2,1,0,0,1,1,1,0,0,0,1
,강북구,사고건수,198,10,10,13,20,12,13,16,21,18,15,29,21,224,13,13,19,20,15,20,16,19,23,22,18,26,216,12,16,18,24,20,25,12,19,14,18,22,16,200,16,16,20,16,13,19,21,17,16,23,13,10,246,16,20,16,21,27,19,17,17,23,21,24,25
,,사망자수,8,0,1,0,0,0,0,2,1,2,0,1,1,8,0,2,0,1,0,0,1,0,1,2,0,1,8,1,0,1,1,1,0,0,1,1,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,1,0,0,1,2,1,0,1,1,1
,,부상자수,202,14,10,14,20,12,13,14,24,17,16,28,20,228,14,13,19,19,16,22,16,21,24,20,18,26,218,12,19,18,24,20,26,12,18,14,19,20,16,211,17,20,20,16,13,22,23,18,17,22,13,10,249,16,20,17,21,29,20,17,16,23,20,24,26
,,중상자수,83,3,2,4,14,4,5,6,10,3,11,11,10,102,7,4,6,10,6,11,9,11,10,9,9,10,96,7,8,7,10,10,13,3,9,6,6,9,8,88,9,8,5,9,7,9,5,8,6,12,8,2,94,7,12,6,7,11,5,8,5,6,7,12,8
,,경상자수,108,11,7,10,6,8,5,7,10,13,5,16,10,118,6,8,12,9,8,10,7,10,12,11,9,16,110,5,11,9,13,9,11,8,8,6,12,11,7,114,7,12,12,6,5,13,17,9,10,10,5,8,147,8,8,10,14,18,15,9,11,14,12,11,17
,,부상신고자수,11,0,1,0,0,0,3,1,4,1,0,1,0,8,1,1,1,0,2,1,0,0,2,0,0,0,12,0,0,2,1,1,2,1,1,2,1,0,1,9,1,0,3,1,1,0,1,1,1,0,0,0,8,1,0,1,0,0,0,0,0,3,1,1,1
,금천구,사고건수,145,11,1,9,22,15,10,17,11,10,20,9,10,119,13,8,11,7,14,7,11,11,14,8,8,7,108,9,5,10,11,11,11,12,6,5,14,8,6,114,13,5,8,11,13,11,7,9,13,9,7,8,143,10,12,10,14,9,13,13,12,8,13,16,13
,,사망자수,6,1,0,0,0,0,0,4,0,0,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0,1,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0
,,부상자수,150,10,1,9,23,16,10,18,12,10,22,9,10,119,11,8,11,7,13,7,14,11,13,8,8,8,109,8,5,11,13,12,12,12,6,5,12,8,5,119,14,6,7,11,15,11,7,9,15,9,7,8,148,10,12,11,13,9,13,12,15,8,14,18,13
,,중상자수,75,5,1,6,12,5,8,11,6,4,11,2,4,46,6,1,3,1,6,1,8,5,5,3,4,3,44,2,3,2,5,4,8,4,4,2,6,3,1,49,6,5,3,3,4,5,3,2,6,3,4,5,62,3,5,3,6,3,8,2,5,4,7,11,5
,,경상자수,64,4,0,3,9,10,2,5,4,6,9,7,5,61,5,6,7,6,6,4,6,6,5,5,2,3,59,6,2,9,8,7,4,7,2,3,5,3,3,65,7,1,2,8,11,6,4,5,9,6,3,3,78,6,7,8,5,6,5,9,10,4,5,6,7
,,부상신고자수,11,1,0,0,2,1,0,2,2,0,2,0,1,12,0,1,1,0,1,2,0,0,3,0,2,2,6,0,0,0,0,1,0,1,0,0,1,2,1,5,1,0,2,0,0,0,0,2,0,0,0,0,8,1,0,0,2,0,0,1,0,0,2,1,1
부산,합계,사고건수,1879,157,153,179,135,161,128,167,149,144,172,175,159,1879,141,100,154,145,185,163,153,157,157,203,163,158,1982,162,141,163,161,177,150,171,167,160,166,200,164,2038,173,157,187,150,163,156,156,168,194,179,172,183,2147,166,144,188,166,176,159,196,184,195,189,185,199
,,사망자수,68,5,5,6,4,1,2,7,8,7,7,10,6,70,3,5,6,4,10,6,4,6,5,5,9,7,59,4,4,3,4,3,2,4,6,6,5,14,4,78,9,3,4,5,3,4,3,5,16,6,14,6,45,4,5,8,2,3,2,2,3,4,6,2,4
,,부상자수,1956,162,165,183,147,171,130,174,154,152,183,177,158,1979,168,99,155,161,194,180,160,165,161,212,163,161,2045,165,140,168,181,197,158,173,182,157,167,191,166,2085,168,165,195,155,168,172,166,180,187,181,162,186,2242,174,146,196,174,197,165,207,188,203,195,195,202
,,중상자수,1021,87,91,105,69,94,80,89,75,67,92,97,75,988,80,57,85,91,98,73,73,81,93,97,82,78,1036,91,77,85,88,100,75,83,87,79,85,98,88,1002,80,73,94,78,83,81,84,80,86,86,80,97,1052,85,79,100,78,89,75,94,82,94,91,88,97
,,경상자수,794,63,65,65,66,60,45,79,61,70,82,67,71,873,75,39,61,66,83,95,79,74,54,100,74,73,854,62,57,67,82,81,69,75,75,68,66,81,71,956,79,84,87,66,72,79,72,90,89,82,76,80,1054,80,57,81,85,96,81,100,95,98,94,95,92
,,부상신고자수,141,12,9,13,12,17,5,6,18,15,9,13,12,118,13,3,9,4,13,12,8,10,14,15,7,10,155,12,6,16,11,16,14,15,20,10,16,12,7,127,9,8,14,11,13,12,10,10,12,13,6,9,136,9,10,15,11,12,9,13,11,11,10,12,13
,중구,사고건수,53,3,4,6,6,3,8,5,5,2,3,1,7,58,6,3,11,7,6,4,4,6,2,2,2,5,71,3,2,4,8,6,6,4,9,8,5,11,5,69,2,3,5,7,8,7,5,10,6,6,5,5,73,10,1,5,8,8,4,3,9,9,7,5,4
,,사망자수,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,,부상자수,53,3,4,6,7,3,8,5,5,2,3,0,7,58,7,3,11,8,5,5,4,6,1,2,2,4,70,2,2,4,8,6,6,4,10,8,4,11,5,71,2,3,6,7,8,7,6,10,6,6,5,5,72,10,1,5,8,8,4,3,9,9,6,5,4
,,중상자수,30,3,3,5,4,2,5,4,0,1,1,0,2,26,2,2,6,3,2,4,1,2,1,1,1,1,37,2,1,3,3,4,4,3,7,6,1,2,1,34,0,1,2,5,4,4,3,3,4,4,2,2,31,3,1,2,3,5,0,1,2,5,4,3,2
,,경상자수,14,0,1,0,1,1,1,1,3,1,1,0,4,27,3,1,5,5,3,1,2,2,0,1,1,3,28,0,1,0,4,2,1,1,1,2,3,9,4,35,2,2,4,2,3,3,3,7,2,2,3,2,35,7,0,3,4,1,3,2,6,4,1,2,2
,,부상신고자수,9,0,0,1,2,0,2,0,2,0,1,0,1,5,2,0,0,0,0,0,1,2,0,0,0,0,5,0,0,1,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,1,2,1,0,1,0,1,0,0
,서구,사고건수,88,6,9,7,7,8,8,6,7,4,14,6,6,110,4,9,13,7,13,4,14,10,9,11,6,10,95,9,7,9,7,12,7,5,15,5,6,8,5,109,9,7,13,7,14,6,7,12,12,9,7,6,105,13,7,12,9,10,7,12,5,6,6,13,5
,,사망자수,3,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,1,0,4,1,0,1,0,1,0,0,0,0,1,0,0
,,부상자수,92,6,9,7,7,8,8,7,6,4,18,6,6,123,5,9,14,11,13,8,14,9,11,11,6,12,96,10,7,9,6,13,8,5,15,5,6,7,5,109,9,7,14,7,15,6,7,13,10,9,6,6,110,14,8,12,9,12,8,12,5,6,5,13,6
,,중상자수,58,6,6,5,4,5,6,2,5,3,8,3,5,63,3,6,5,7,7,4,4,6,5,9,3,4,51,6,4,5,6,7,4,1,4,2,5,3,4,53,4,2,9,6,7,4,3,5,2,4,2,5,51,6,5,6,2,9,1,6,1,4,4,6,1
,,경상자수,28,0,3,2,2,1,2,5,1,0,10,1,1,52,2,1,9,4,5,4,7,2,6,2,3,7,41,3,3,4,0,6,4,4,9,2,1,4,1,46,5,3,4,1,7,1,4,7,5,4,4,1,54,8,3,5,7,2,7,4,3,2,1,7,5
,,부상신고자수,6,0,0,0,1,2,0,0,0,1,0,2,0,8,0,2,0,0,1,0,3,1,0,0,0,1,4,1,0,0,0,0,0,0,2,1,0,0,0,10,0,2,1,0,1,1,0,1,3,1,0,0,5,0,0,1,0,1,0,2,1,0,0,0,0
,동구,사고건수,94,2,10,14,6,9,11,10,3,5,8,10,6,92,6,5,9,7,9,12,9,4,7,13,6,5,89,4,6,4,3,9,7,10,7,11,11,11,6,113,10,8,7,5,10,13,11,13,7,6,9,14,119,7,6,11,7,7,11,8,9,11,16,10,16
,,사망자수,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,부상자수,98,2,10,15,6,9,12,12,3,5,8,10,6,89,5,5,9,6,8,12,10,4,7,13,6,4,95,4,7,4,3,10,11,10,7,12,11,10,6,120,11,10,7,5,11,14,11,12,8,6,10,15,121,7,6,11,7,7,14,8,8,11,16,10,16
,,중상자수,62,1,4,10,5,6,8,7,2,3,5,7,4,46,1,2,4,5,4,4,3,3,6,8,4,2,46,2,5,2,0,4,4,3,3,5,9,7,2,54,4,4,4,5,5,7,4,7,1,4,4,5,56,4,4,5,2,1,6,3,4,4,8,5,10
,,경상자수,32,1,5,5,1,3,4,4,0,2,3,2,2,42,3,3,5,1,4,8,7,1,1,5,2,2,41,1,2,2,3,4,7,6,2,6,2,2,4,59,7,6,2,0,5,4,7,4,6,2,6,10,58,3,2,4,3,5,8,5,4,6,8,4,6
,,부상신고자수,4,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0,1,2,1,0,1,0,7,0,0,1,0,1,3,0,1,1,0,0,0,7,0,0,2,2,1,0,0,0,1,0,1,0
,영도구,사고건수,64,2,5,6,4,3,5,6,4,5,10,8,6,81,4,5,6,4,6,8,12,10,5,6,9,6,79,5,3,11,9,10,3,3,4,9,5,10,7,84,10,6,8,10,2,5,8,8,6,8,7,6,81,5,5,5,3,9,7,9,6,4,8,10,10
,,사망자수,3,0,0,1,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0
,,부상자수,63,2,5,5,5,3,5,5,4,5,11,8,5,85,3,4,6,9,6,8,12,10,5,8,8,6,86,5,3,15,8,10,3,3,7,9,6,10,7,83,10,6,8,10,2,5,8,9,5,8,6,6,82,6,4,4,3,9,7,10,6,4,9,10,10
,,중상자수,40,2,3,5,3,2,2,1,3,4,8,3,4,46,2,1,6,5,4,4,6,5,4,3,4,2,38,3,1,5,6,5,2,2,2,5,1,2,4,37,5,5,3,4,0,1,5,2,1,6,2,3,35,1,2,1,3,4,3,6,2,3,4,3,3
,,경상자수,23,0,2,0,2,1,3,4,1,1,3,5,1,38,1,3,0,4,1,4,6,5,1,5,4,4,39,2,2,10,2,3,1,1,2,4,2,7,3,44,4,1,5,5,2,4,3,7,4,2,4,3,41,4,2,2,0,5,4,2,4,1,5,5,7
,,부상신고자수,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,0,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,2,0,0,0,2,0
,진구,사고건수,226,18,18,26,14,23,12,13,25,18,15,24,20,206,21,2,17,12,29,16,11,13,20,29,18,18,239,21,16,16,19,20,22,21,14,21,21,22,26,257,22,20,26,12,17,20,16,19,26,28,27,24,290,24,21,25,26,19,20,30,22,33,26,21,23
,,사망자수,7,1,1,1,1,0,0,0,2,0,0,1,0,7,0,0,1,0,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,10,1,1,0,0,0,0,0,1,2,2,3,0,7,1,1,1,0,1,0,0,0,1,1,0,1
